Designator,MIdX,MidY,Layer,Rotation
C1,143.96,-102.23,B,-90
C2,145.56,-102.24,B,-90
C3,189.175,-164.455,B,180
C4,189.155,-159.265,B,180
C5,198.92,-159.21,B,0
C6,173.1,-150.455,B,90
C7,172,-164.48,B,-90
C8,170.2425,-152.17,B,90
C9,167.0525,-152.17,B,90
C10,173.41,-148.1,B,0
C11,165.95,-156.1,B,180
C12,163.845,-159.15,B,180
C13,175.15,-165.35,B,0
C14,178.92,-159.29,B,0
C15,178.92,-157.54,B,0
C16,168.6225,-152.175,B,90
D1,114.24,-169.46,B,20
D2,96.4,-176.01,B,20
D3,102.99,-193.78,B,20
D4,109.243323,-212.179121,B,20
D5,120.31,-188.4825,B,-70
D6,138.170879,-181.673323,B,-70
D7,149.87,-78.69,B,0
D8,141.3125,-98.52,B,0
D9,141.31,-117.68,B,0
D10,141.39,-136.56,B,0
D11,141.28,-155.55,B,0
D12,160.36,-77.08,B,0
D13,160.41,-96.04,B,0
D14,160.34,-115.13,B,0
D15,160.3425,-134.04,B,0
D16,160.38,-153.19,B,0
D17,179.51,-74.43,B,0
D18,179.3525,-93.53,B,0
D19,179.53,-112.5,B,0
D20,179.56,-131.45,B,0
D21,179.4625,-150.57,B,0
D22,198.64,-76.77,B,0
D23,198.4725,-95.96,B,0
D24,198.48,-114.85,B,0
D25,198.35,-133.88,B,0
D26,198.51,-153.12,B,0
D27,217.5125,-81.84,B,0
D28,217.57,-100.98,B,0
D29,217.64,-120.08,B,0
D30,217.67,-139.03,B,0
D31,217.59,-158.14,B,0
D32,236.69,-84.36,B,0
D33,236.59,-103.41,B,0
D34,236.71,-122.41,B,0
D35,236.75,-141.49,B,0
D36,236.77,-160.55,B,0
D37,261.05,-84.29,B,0
D38,260.95,-103.2,B,0
D39,260.99,-122.65,B,0
D40,261.15,-141.43,B,0
D41,255.84,-160.52,B,0
D42,154.8,-93.1675,B,90
J1,145.76,-59.795,B,0
J2,140.3,-82.1,B,0
R1,153.19,-61.0255,B,-90
R2,143.45,-66.8355,B,180
R3,148.54,-66.8155,B,0
R4,204.64,-156.64,B,0
R5,178.87,-164.3,B,180
R6,176.41,-139.985,B,90
R7,174.81,-139.99,B,90
R8,156.41,-107.92,B,-90
R9,153.79,-107.88,B,-90
SW42,166.08,-163.82,B,0
SW43,209.02,-159.19,B,0
U1,151.55,-100.82,B,0
U2,201.74,-163.25,B,180
U3,172.79,-158.14,B,180
Y1,189.115,-161.875,B,0
